ID,Grupo,Torre,Ambiente,Nivel de presión sonora (dB),Nivel de iluminancia,Temperatura ambiental,N° de personas presentes,N° de tomacorrientes disponibles,Cant de luminarias,Fuente de luz,Fuente de ruido,Propósito,Distractores,Frecuencia de uso del ambiente,Nivel de conservación,Nivel de comodidad,Facilidad para estudiar,Intensidad de la luz
5A2-2804-13,Grupo 5,A,2,130.56,28.1,23,14,4,8,Mixta,Pasillos,Estudio,Auditivos,2,3,3,4,2
5A2-2804-13,Grupo 5,A,2,130.56,28.1,23,14,4,8,Mixta,Pasillos,Estudio,Auditivos,1,4,3,4,2
5A2-2804-13,Grupo 5,A,2,130.56,28.1,23,14,4,8,Mixta,Pasillos,Estudio,Auditivos,1,3,3,3,2
5A1-2804-13,Grupo 5,A,1,137.88,62.8,21,16,62,0,Natural,Charla de estudiantes,Estudio,Auditivos,2,3,4,4,2
5A2-2804-13,Grupo 5,A,2,130.56,28.1,23,14,4,8,Mixta,Pasillos,Estudio,Auditivos,1,3,3,3,2
5A1-2804-13,Grupo 5,A,1,137.88,62.8,21,16,62,0,Natural,Charla de estudiantes,Estudio,Auditivos,2,4,4,4,2
5A1-2804-13,Grupo 5,A,1,137.88,62.8,21,16,62,0,Natural,Charla de estudiantes,Estudio,Auditivos,2,4,3,3,2
5A2-2804-13,Grupo 5,A,2,130.56,28.1,23,14,4,8,Mixta,Pasillos,Estudio,Auditivos,1,4,2,3,2
5A2-2804-13,Grupo 5,A,2,130.56,28.1,23,14,4,8,Mixta,Pasillos,Estudio,Auditivos,1,3,3,3,2
5A2-2804-13,Grupo 5,A,2,130.56,28.1,23,14,4,8,Mixta,Pasillos,Estudio,Auditivos,1,3,3,4,2
5A2-2804-13,Grupo 5,A,2,130.56,28.1,23,14,4,8,Mixta,Pasillos,Estudio,Auditivos,1,4,4,4,2
5A2-2804-13,Grupo 5,A,2,130.56,28.1,23,14,4,8,Mixta,Pasillos,Estudio,Auditivos,2,3,4,4,2
5A2-2804-13,Grupo 5,A,2,130.56,28.1,23,14,4,8,Mixta,Pasillos,Estudio,Auditivos,1,4,2,3,2
5A2-2804-13,Grupo 5,A,2,130.56,28.1,23,14,4,8,Mixta,Pasillos,Estudio,Auditivos,2,3,4,3,2
5A2-2804-13,Grupo 5,A,2,130.56,28.1,23,14,4,8,Mixta,Pasillos,Estudio,Auditivos,1,4,3,3,2
5A1-2804-18,Grupo 5,A,1,155.3,103.8,23,21,62,6,Natural,Charla de estudiantes,Estudio,Auditivos,2,4,3,3,2
5A1-2804-18,Grupo 5,A,1,155.3,103.8,23,21,62,6,Natural,Charla de estudiantes,Estudio,Auditivos,2,4,4,4,2
5A1-2804-18,Grupo 5,A,1,155.3,103.8,23,21,62,6,Natural,Charla de estudiantes,Estudio,Auditivos,2,4,3,3,3
5A1-2804-18,Grupo 5,A,1,155.3,103.8,23,21,62,6,Natural,Charla de estudiantes,Estudio,Auditivos,1,4,3,4,2
5A2-2804-18,Grupo 5,A,2,147.5,22.38,23,15,10,8,Artificial,Pasillos,Estudio,Auditivos,2,3,3,3,2
5A1-2804-18,Grupo 5,A,1,155.3,103.8,23,21,62,6,Natural,Charla de estudiantes,Estudio,Auditivos,1,3,2,3,2
5A1-2804-18,Grupo 5,A,1,155.3,103.8,23,21,62,6,Natural,Charla de estudiantes,Estudio,Auditivos,1,4,3,3,2
5A2-2804-18,Grupo 5,A,2,147.5,22.38,23,15,10,8,Artificial,Pasillos,Estudio,Auditivos,2,3,3,3,2
5A2-2804-18,Grupo 5,A,2,147.5,22.38,23,15,10,8,Artificial,Pasillos,Estudio,Auditivos,1,3,4,3,2
5A1-2804-18,Grupo 5,A,1,155.3,103.8,23,21,62,6,Natural,Charla de estudiantes,Estudio,Auditivos,2,4,4,4,2
5A1-2804-18,Grupo 5,A,1,155.3,103.8,23,21,62,6,Natural,Charla de estudiantes,Estudio,Auditivos,1,3,3,3,2
5A2-2804-18,Grupo 5,A,2,147.5,22.38,23,15,10,8,Artificial,Pasillos,Estudio,Auditivos,2,3,3,3,2
5A2-2804-18,Grupo 5,A,2,147.5,22.38,23,15,10,8,Artificial,Pasillos,Estudio,Auditivos,2,3,3,3,2
5A1-2804-18,Grupo 5,A,1,155.3,103.8,23,21,62,6,Natural,Charla de estudiantes,Estudio,Auditivos,2,4,4,4,2
5A2-2804-18,Grupo 5,A,2,147.5,22.38,23,15,10,8,Artificial,Pasillos,Estudio,Auditivos,2,3,3,3,2
5A1-2804-18,Grupo 5,A,1,155.3,103.8,23,21,62,6,Natural,Charla de estudiantes,Estudio,Auditivos,2,4,3,3,2
5A2-2804-18,Grupo 5,A,2,147.5,22.38,23,15,10,8,Artificial,Pasillos,Estudio,Auditivos,2,3,3,3,2
5A1-2804-18,Grupo 5,A,1,155.3,103.8,23,21,62,6,Natural,Charla de estudiantes,Estudio,Auditivos,2,3,3,3,2
5A1-2804-18,Grupo 5,A,1,155.3,103.8,23,21,62,6,Natural,Charla de estudiantes,Estudio,Auditivos,1,3,2,3,3
5A2-2804-18,Grupo 5,A,2,147.5,22.38,23,15,10,8,Artificial,Pasillos,Estudio,Auditivos,1,2,2,2,3
5A1-2804-18,Grupo 5,A,1,155.3,103.8,23,21,62,6,Natural,Charla de estudiantes,Estudio,Auditivos,2,4,4,4,2
5A2-2804-18,Grupo 5,A,2,147.5,22.38,23,15,10,8,Artificial,Pasillos,Estudio,Auditivos,2,4,4,5,2
5A2-2804-18,Grupo 5,A,2,147.5,22.38,23,15,10,8,Artificial,Pasillos,Estudio,Auditivos,2,3,3,3,2
5A1-2804-18,Grupo 5,A,1,155.3,103.8,23,21,62,6,Natural,Charla de estudiantes,Estudio,Auditivos,1,3,2,3,3
5A2-2804-18,Grupo 5,A,2,147.5,22.38,23,15,10,8,Artificial,Pasillos,Estudio,Auditivos,1,2,3,3,2
5A2-2804-18,Grupo 5,A,2,147.5,22.38,23,15,10,8,Artificial,Pasillos,Estudio,Auditivos,1,3,3,3,2
5A2-2804-18,Grupo 5,A,2,147.5,22.38,23,15,10,8,Artificial,Pasillos,Estudio,Auditivos,1,3,4,3,2
5A2-2804-18,Grupo 5,A,2,147.5,22.38,23,15,10,8,Artificial,Pasillos,Estudio,Auditivos,1,3,3,3,2
1B2-2904-09,Grupo 5,B,2,149.25,2551.51,27,10,0,0,Natural,Pasillos,Descanso,Auditivos,2,3,2,2,2
1B2-2904-09,Grupo 5,B,2,149.25,2551.51,27,10,0,0,Natural,Pasillos,Descanso,Auditivos,2,4,3,3,2
1B2-2904-09,Grupo 5,B,2,149.25,2551.51,27,10,0,0,Natural,Pasillos,Descanso,Auditivos,2,3,3,2,2
1B2-2904-09,Grupo 5,B,2,149.25,2551.51,27,10,0,0,Natural,Pasillos,Descanso,Auditivos,2,3,3,2,2
1B2-2904-09,Grupo 5,B,2,149.25,2551.51,27,10,0,0,Natural,Pasillos,Descanso,Auditivos,1,3,2,2,1
1B2-2904-09,Grupo 5,B,2,149.25,2551.51,27,10,0,0,Natural,Pasillos,Descanso,Auditivos,1,3,2,1,1
1B2-2904-09,Grupo 5,B,2,149.25,2551.51,27,10,0,0,Natural,Pasillos,Descanso,Auditivos,1,4,3,3,2
1B2-2904-09,Grupo 5,B,2,149.25,2551.51,27,10,0,0,Natural,Pasillos,Descanso,Auditivos,2,3,3,3,2
1B2-2904-09,Grupo 5,B,2,149.25,2551.51,27,10,0,0,Natural,Pasillos,Descanso,Auditivos,1,3,3,3,2
1B2-2904-09,Grupo 5,B,2,149.25,2551.51,27,10,0,0,Natural,Pasillos,Descanso,Auditivos,1,3,3,2,2
1B3-2904-13,Grupo 5,B,3,150.15,572.88,22,17,0,0,Natural,Charla de estudiantes,Alimentación,Auditivos,2,5,5,4,3
1B2-2904-18,Grupo 5,B,2,148.64,35.01,19,2,0,0,Artificial,Pasillos,Descanso,Auditivos,2,4,3,3,2
1B2-2904-18,Grupo 5,B,2,148.64,35.01,19,2,0,0,Artificial,Pasillos,Descanso,Auditivos,1,3,3,4,2
1B2-2904-18,Grupo 5,B,2,148.64,35.01,19,2,0,0,Artificial,Pasillos,Descanso,Auditivos,2,3,4,4,1
1B2-2904-18,Grupo 5,B,2,148.64,35.01,19,2,0,0,Artificial,Pasillos,Descanso,Auditivos,2,3,3,4,2
1B2-2904-18,Grupo 5,B,2,148.64,35.01,19,2,0,0,Artificial,Pasillos,Descanso,Auditivos,3,3,4,3,2
1B2-2904-18,Grupo 5,B,2,148.64,35.01,19,2,0,0,Artificial,Pasillos,Descanso,Auditivos,2,3,3,3,2
1B2-2904-18,Grupo 5,B,2,148.64,35.01,19,2,0,0,Artificial,Pasillos,Descanso,Auditivos,2,3,3,3,2
1B2-2904-18,Grupo 5,B,2,148.64,35.01,19,2,0,0,Artificial,Pasillos,Descanso,Auditivos,2,3,3,3,2
1B2-2904-18,Grupo 5,B,2,148.64,35.01,19,2,0,0,Artificial,Pasillos,Descanso,Auditivos,1,3,4,3,2
1B2-2904-18,Grupo 5,B,2,148.64,35.01,19,2,0,0,Artificial,Pasillos,Descanso,Auditivos,2,3,3,3,2
1B2-2904-18,Grupo 5,B,2,148.64,35.01,19,2,0,0,Artificial,Pasillos,Descanso,Auditivos,2,3,3,3,2
1B3-3004-09,Grupo 5,B,3,144.63,7607.21,21,4,10,0,Natural,Charla de estudiantes,Socialización,Auditivos,2,3,3,3,2
1B1-3004-09,Grupo 5,B,1,150.79,71.84,23,18,1,0,Mixta,Charla de estudiantes,Alimentación,Auditivos,3,4,3,3,2
1B3-3004-09,Grupo 5,B,3,144.63,7607.21,21,4,10,0,Natural,Charla de estudiantes,Socialización,Auditivos,2,3,4,3,2
1B3-3004-09,Grupo 5,B,3,144.63,7607.21,21,4,10,0,Natural,Charla de estudiantes,Socialización,Auditivos,3,3,4,3,3
1B3-3004-09,Grupo 5,B,3,144.63,7607.21,21,4,10,0,Natural,Charla de estudiantes,Socialización,Auditivos,2,3,4,3,2
1B3-3004-09,Grupo 5,B,3,144.63,7607.21,21,4,10,0,Natural,Charla de estudiantes,Socialización,Auditivos,2,3,4,3,2
1B3-3004-09,Grupo 5,B,3,144.63,7607.21,21,4,10,0,Natural,Charla de estudiantes,Socialización,Auditivos,3,4,4,3,2
1B3-3004-09,Grupo 5,B,3,144.63,7607.21,21,4,10,0,Natural,Charla de estudiantes,Socialización,Auditivos,2,3,4,3,2
1B3-3004-09,Grupo 5,B,3,144.63,7607.21,21,4,10,0,Natural,Charla de estudiantes,Socialización,Auditivos,2,4,3,3,2
1B3-3004-09,Grupo 5,B,3,144.63,7607.21,21,4,10,0,Natural,Charla de estudiantes,Socialización,Auditivos,2,4,3,3,2
1B3-3004-09,Grupo 5,B,3,144.63,7607.21,21,4,10,0,Natural,Charla de estudiantes,Socialización,Auditivos,3,3,3,3,2
1B3-3004-09,Grupo 5,B,3,144.63,7607.21,21,4,10,0,Natural,Charla de estudiantes,Socialización,Auditivos,2,4,3,3,2
1B1-3004-09,Grupo 5,B,1,150.79,71.84,23,18,1,0,Mixta,Charla de estudiantes,Alimentación,Auditivos,1,4,2,2,1
1B1-3004-09,Grupo 5,B,1,150.79,71.84,23,18,1,0,Mixta,Charla de estudiantes,Alimentación,Auditivos,2,4,3,3,2
1B1-3004-09,Grupo 5,B,1,150.79,71.84,23,18,1,0,Mixta,Charla de estudiantes,Alimentación,Auditivos,2,4,3,3,2
1B1-3004-09,Grupo 5,B,1,150.79,71.84,23,18,1,0,Mixta,Charla de estudiantes,Alimentación,Auditivos,1,4,2,2,1
1B1-3004-09,Grupo 5,B,1,150.79,71.84,23,18,1,0,Mixta,Charla de estudiantes,Alimentación,Auditivos,2,4,3,3,1
1B1-3004-09,Grupo 5,B,1,150.79,71.84,23,18,1,0,Mixta,Charla de estudiantes,Alimentación,Auditivos,1,4,2,2,1
1B1-3004-09,Grupo 5,B,1,150.79,71.84,23,18,1,0,Mixta,Charla de estudiantes,Alimentación,Auditivos,2,4,3,3,1
1B1-3004-09,Grupo 5,B,1,150.79,71.84,23,18,1,0,Mixta,Charla de estudiantes,Alimentación,Auditivos,2,4,3,2,1
1B1-3004-09,Grupo 5,B,1,150.79,71.84,23,18,1,0,Mixta,Charla de estudiantes,Alimentación,Auditivos,2,4,3,3,2
1B1-3004-09,Grupo 5,B,1,150.79,71.84,23,18,1,0,Mixta,Charla de estudiantes,Alimentación,Auditivos,1,4,3,2,1
1B3-3004-13,Grupo 5,B,3,133.27,5575.21,23,21,10,0,Natural,Charla de estudiantes,Socialización,Visuales,2,2,5,3,2
1B3-3004-13,Grupo 5,B,3,133.27,5575.21,23,21,10,0,Natural,Charla de estudiantes,Socialización,Visuales,2,5,5,4,3
1B3-3004-13,Grupo 5,B,3,133.27,5575.21,23,21,10,0,Natural,Charla de estudiantes,Socialización,Visuales,2,4,3,3,2
1B3-3004-13,Grupo 5,B,3,133.27,5575.21,23,21,10,0,Natural,Charla de estudiantes,Socialización,Visuales,2,4,4,3,2
1B1-3004-13,Grupo 5,B,1,152.67,28.74,23,126,1,2,Mixta,Charla de estudiantes,Alimentación,Auditivos,3,3,3,3,2
1B3-3004-13,Grupo 5,B,3,133.27,5575.21,23,21,10,0,Natural,Charla de estudiantes,Socialización,Visuales,2,5,3,2,3
1B3-3004-13,Grupo 5,B,3,133.27,5575.21,23,21,10,0,Natural,Charla de estudiantes,Socialización,Visuales,2,4,3,2,3
1B3-3004-13,Grupo 5,B,3,133.27,5575.21,23,21,10,0,Natural,Charla de estudiantes,Socialización,Visuales,2,4,4,3,2
1B3-3004-13,Grupo 5,B,3,133.27,5575.21,23,21,10,0,Natural,Charla de estudiantes,Socialización,Visuales,3,3,1,3,2
1B3-3004-13,Grupo 5,B,3,133.27,5575.21,23,21,10,0,Natural,Charla de estudiantes,Socialización,Visuales,1,3,3,2,2
1B1-3004-09,Grupo 5,B,1,150.79,71.84,23,18,1,0,Mixta,Charla de estudiantes,Alimentación,Auditivos,1,4,3,2,1
1B1-3004-09,Grupo 5,B,1,150.79,71.84,23,18,1,0,Mixta,Charla de estudiantes,Alimentación,Auditivos,1,5,3,2,1
1B1-3004-09,Grupo 5,B,1,150.79,71.84,23,18,1,0,Mixta,Charla de estudiantes,Alimentación,Auditivos,2,5,3,2,1
1B1-3004-09,Grupo 5,B,1,150.79,71.84,23,18,1,0,Mixta,Charla de estudiantes,Alimentación,Auditivos,2,5,3,2,1
1B1-3004-13,Grupo 5,B,1,152.67,28.74,23,126,1,2,Mixta,Charla de estudiantes,Alimentación,Auditivos,3,4,2,1,2
1B1-3004-13,Grupo 5,B,1,152.67,28.74,23,126,1,2,Mixta,Charla de estudiantes,Alimentación,Auditivos,2,3,2,1,2
1B1-3004-13,Grupo 5,B,1,152.67,28.74,23,126,1,2,Mixta,Charla de estudiantes,Alimentación,Auditivos,3,3,3,1,2
1B1-3004-13,Grupo 5,B,1,152.67,28.74,23,126,1,2,Mixta,Charla de estudiantes,Alimentación,Auditivos,2,3,3,1,2
1B1-3004-13,Grupo 5,B,1,152.67,28.74,23,126,1,2,Mixta,Charla de estudiantes,Alimentación,Auditivos,3,3,2,1,2
1B1-3004-13,Grupo 5,B,1,152.67,28.74,23,126,1,2,Mixta,Charla de estudiantes,Alimentación,Auditivos,2,3,3,1,2
1B1-3004-13,Grupo 5,B,1,152.67,28.74,23,126,1,2,Mixta,Charla de estudiantes,Alimentación,Auditivos,3,4,3,2,2
1B1-3004-13,Grupo 5,B,1,152.67,28.74,23,126,1,2,Mixta,Charla de estudiantes,Alimentación,Auditivos,2,3,1,1,2
1B1-3004-13,Grupo 5,B,1,152.67,28.74,23,126,1,2,Mixta,Charla de estudiantes,Alimentación,Auditivos,2,4,1,2,1
1B1-3004-13,Grupo 5,B,1,152.67,28.74,23,126,1,2,Mixta,Charla de estudiantes,Alimentación,Auditivos,2,3,1,1,2
1B1-3004-13,Grupo 5,B,1,152.67,28.74,23,126,1,2,Mixta,Charla de estudiantes,Alimentación,Auditivos,1,3,1,1,2
1B1-3004-13,Grupo 5,B,1,152.67,28.74,23,126,1,2,Mixta,Charla de estudiantes,Alimentación,Auditivos,2,3,2,1,2
1B1-3004-13,Grupo 5,B,1,152.67,28.74,23,126,1,2,Mixta,Charla de estudiantes,Alimentación,Auditivos,2,3,1,1,2
1B1-3004-13,Grupo 5,B,1,152.67,28.74,23,126,1,2,Mixta,Charla de estudiantes,Alimentación,Auditivos,2,4,1,1,2
1B1-3004-13,Grupo 5,B,1,152.67,28.74,23,126,1,2,Mixta,Charla de estudiantes,Alimentación,Auditivos,3,4,3,1,2
1B3-3004-13,Grupo 5,B,3,133.27,5575.21,23,21,10,0,Natural,Charla de estudiantes,Socialización,Visuales,2,4,4,4,2
1B1-3004-18,Grupo 5,B,1,137.77,177.87,26,6,0,31,Artificial,Pasillos,Alimentación,Auditivos,1,3,3,3,2
1B1-3004-18,Grupo 5,B,1,137.77,177.87,26,6,0,31,Artificial,Pasillos,Alimentación,Auditivos,3,3,4,2,1
1B1-3004-18,Grupo 5,B,1,137.77,177.87,26,6,0,31,Artificial,Pasillos,Alimentación,Auditivos,2,3,4,3,2
1B3-3004-09,Grupo 5,B,3,144.63,7607.21,21,4,10,0,Natural,Charla de estudiantes,Socialización,Auditivos,2,2,2,1,2
1B1-3004-18,Grupo 5,B,1,137.77,177.87,26,6,0,31,Artificial,Pasillos,Alimentación,Auditivos,1,5,4,3,2
1B3-3004-13,Grupo 5,B,3,133.27,5575.21,23,21,10,0,Natural,Charla de estudiantes,Socialización,Visuales,1,3,4,3,1
1B3-3004-18,Grupo 5,B,3,133.11,118,24,24,10,0,Natural,Charla de estudiantes,Socialización,Auditivos,2,5,4,4,3
1B3-3004-18,Grupo 5,B,3,133.11,118,24,24,10,0,Natural,Charla de estudiantes,Socialización,Auditivos,1,4,3,3,2
1B3-3004-18,Grupo 5,B,3,133.11,118,24,24,10,0,Natural,Charla de estudiantes,Socialización,Auditivos,2,5,4,3,2
1B3-3004-18,Grupo 5,B,3,133.11,118,24,24,10,0,Natural,Charla de estudiantes,Socialización,Auditivos,2,4,2,1,1
1B3-3004-18,Grupo 5,B,3,133.11,118,24,24,10,0,Natural,Charla de estudiantes,Socialización,Auditivos,2,3,2,3,1
1B3-3004-18,Grupo 5,B,3,133.11,118,24,24,10,0,Natural,Charla de estudiantes,Socialización,Auditivos,2,5,4,4,1
1B3-3004-18,Grupo 5,B,3,133.11,118,24,24,10,0,Natural,Charla de estudiantes,Socialización,Auditivos,2,3,3,3,2
1B3-3004-18,Grupo 5,B,3,133.11,118,24,24,10,0,Natural,Charla de estudiantes,Socialización,Auditivos,2,1,3,2,2
1B3-3004-18,Grupo 5,B,3,133.11,118,24,24,10,0,Natural,Charla de estudiantes,Socialización,Auditivos,2,3,3,3,2
1B3-3004-18,Grupo 5,B,3,133.11,118,24,24,10,0,Natural,Charla de estudiantes,Socialización,Auditivos,3,4,4,3,2
1B1-3004-18,Grupo 5,B,1,137.77,177.87,26,6,0,31,Artificial,Pasillos,Alimentación,Auditivos,3,4,2,2,2
5B1-2704-09,Grupo 4,B,1,52.8,503.35,22,62,214,94,Mixta,Charla de estudiantes,Estudio,Auditivos,3,4,3,3,3
5A1-2804-09,Grupo 5,A,1,137.4,17.39,22,14,62,0,Natural,Tráfico vehicular,Estudio,Auditivos,2,3,5,3,2
11A1-2804-09,Grupo 6,A,1,-16.97,6534,19.6,5,5,0,Natural,Charla de estudiantes,Descanso,Tecnológicos,2,4,3,2,2
11A1-2804-13,Grupo 6,A,1,139.73,1976.88,25,16,4,0,Natural,Charla de estudiantes,Descanso,Tecnológicos,3,4,3,1,2
11A2-2804-13,Grupo 6,A,2,126.13,1944.71,25,10,3,0,Natural,Charla de estudiantes,Descanso,Tecnológicos,2,5,1,2,2
10A1-2804-13,Grupo 6,A,1,119.81,3338.86,22,13,20,11,Mixta,Charla de estudiantes,Estudio,Tecnológicos,2,5,3,3,2
10A1-2804-13,Grupo 6,A,1,119.81,3338.86,22,13,20,11,Mixta,Charla de estudiantes,Estudio,Tecnológicos,1,4,2,2,3
11A3-2804-13,Grupo 6,A,3,136.72,2293.45,25,9,2,0,Natural,Charla de estudiantes,Descanso,Tecnológicos,2,4,2,2,2
10A1-2904-09,Grupo 6,A,1,"114,97",149.01,22,16,20,0,Natural,Pasillos,Estudio,Tecnológicos,3,5,3,5,2
10A1-2904-09,Grupo 6,A,1,"114,97",149.01,22,16,20,0,Natural,Pasillos,Estudio,Tecnológicos,3,4,4,4,2
10A1-2904-09,Grupo 6,A,1,"114,97",149.01,22,16,20,0,Natural,Pasillos,Estudio,Tecnológicos,2,5,5,5,2
10A1-2904-09,Grupo 6,A,1,"114,97",149.01,22,16,20,0,Natural,Pasillos,Estudio,Tecnológicos,2,5,3,5,2
10A1-2904-09,Grupo 6,A,1,"114,97",149.01,22,16,20,0,Natural,Pasillos,Estudio,Tecnológicos,2,5,4,3,2
11A1-3004-18,Grupo 6,A,1,132.32,138.86,19,5,4,3,Artificial,Tráfico vehicular,Descanso,Auditivos,2,4,4,4,2
11A1-3004-18,Grupo 6,A,1,132.32,138.86,19,5,4,3,Artificial,Tráfico vehicular,Descanso,Auditivos,3,5,5,4,3
11A1-3004-18,Grupo 6,A,1,132.32,138.86,19,5,4,3,Artificial,Tráfico vehicular,Descanso,Auditivos,2,4,4,2,2
11A1-3004-18,Grupo 6,A,1,132.32,138.86,19,5,4,3,Artificial,Tráfico vehicular,Descanso,Auditivos,1,3,3,4,3
